Page #,Page Name,URL,Page Type,Parent Page,Template,Content Source,Tier / Priority,Primary CTA,Secondary CTA,Section #,Section Name,Section Purpose / Intent,Internal Links From This Section,Notes
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.1,Sticky Header,"Persistent navigation carrying six slots plus the five-way partner dropdown, so the primary commercial journey is visible at nav level on every page without consuming its own slot.",/ | /products | /plant | /find-boogies | /partners (dropdown x5) | /company | /contact,Distributor listed first and visually weighted in the dropdown.
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.2,Hero — dual audience,Resolves the site's central tension in one screen: a consumer-credible brand statement with an explicit trade entry above the fold. The current site loses the highest-value visitor in seconds because it reads as a retail ice cream brand.,/partners/distributor | /find-boogies,"Real photography of the plant and product only — no stock, no AI-generated imagery."
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.3,Trade entry strip,"Names the five partner journeys immediately so a distributor, retailer, van operator, franchisee or bulk buyer self-sorts before scrolling. Answers the Meiso segmentation pattern and exceeds it.",/partners/distributor | /partners/retailer | /partners/van-route | /partners/franchise | /partners/bulk-events,Five-way router mirrors the enquiry form's interest field.
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.4,Proof bar,"Third-party verification placed before any brand claim, because the strongest asset Boogies owns is evidence it did not author. Carries the Google rating and review count.",/plant | external: Google Business Profile,"Real verified figures only (4.7 / 126 at time of research). If the figure is not current at build, the block is OMITTED rather than estimated."
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.5,"The range, by what it does for a freezer","Reframes catalogue breadth as a logistics and margin argument rather than a flavour list — one relationship covering value, premium, novelty and impulse.",/products | /products/[tier] x6,Translate every product fact into a shelf or margin consequence.
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.6,"The plant, in motion",Converts an unverifiable quality claim into a verifiable invitation. Video-led because the process is inherently visual and text has never carried it.,/plant | /plant/visit,Filmed plant tour. Real footage of the actual facility and staff.
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.7,Where Boogies already sells,Doubles as consumer discovery and as sell-through evidence — outlet presence by town is the proof that the product moves without advertising.,/find-boogies | /find-boogies/[district],Renders live outlet counts from the CMS. Omits counts entirely if data is incomplete.
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.8,The reframe,Turns the company's proudest fact — over a decade of growth with no advertising — from a warning sign into the reason the territory is still available. This is the single most important argument on the site.,/partners/distributor | /partners/distributor/evidence,Never states 'we never advertised' without the reframe attached.
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.9,Territory check CTA band,"The primary conversion, placed after belief has been built rather than before it.",/partners/distributor/territory,Opens Step 1 of the progressive form.
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.10,Boogie Woogie strip,"Introduces the exclusive line as a consumer range here and as margin protection on partner surfaces — same asset, two framings.",/boogie-woogie | /partners/franchise,Exclusivity flag: available only through Boogies outlets and franchises.
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.11,Bulk and events,Captures a real demand stream the current site promises in copy but routes nowhere.,/partners/bulk-events,Homepage today claims doorstep delivery of large orders with no capture route.
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.12,Pinned WhatsApp + Call,Floating conversion path for the archetype who will not complete a form. Pre-filled with page context so the sales conversation opens already qualified rather than at zero.,wa.me deep link | tel: link,WhatsApp Business API. Page context injected into the pre-filled message.
1,Homepage,/,Static,—,Custom build,Manual,Tier 1,Check if your territory is open,Partner with Boogies | Find a Tasty Point,1.13,Footer,"Standard 4-column footer: Explore | Products | Partner With Us | Contact & Legal. The visible partner email lives in column four and is one of nine sitewide surfaces carrying it, because the relationship-driven distributor archetype bypasses forms and looks for a person.",/ | /company | /plant | /find-boogies | /resources | /products/[tier] x6 | /partners/distributor | /partners/retailer | /partners/van-route | /partners/franchise | /partners/bulk-events | /contact | /privacy | /terms,"Locked template. partners@boogies.in [CONFIRM]. Both entity addresses shown (Icehome Foods, Kerala; Mountbell Foods, Tamil Nadu). Single phone number sitewide — current estate publishes two different numbers."
2,Products — Index,/products,Static index,/,Tier index,CMS Product Tier collection,Tier 2,Request the trade pack,Check if your territory is open,2.1,Sticky Header,"Persistent navigation carrying six slots plus the five-way partner dropdown, so the primary commercial journey is visible at nav level on every page without consuming its own slot.",/ | /products | /plant | /find-boogies | /partners (dropdown x5) | /company | /contact,Distributor listed first and visually weighted in the dropdown.
2,Products — Index,/products,Static index,/,Tier index,CMS Product Tier collection,Tier 2,Request the trade pack,Check if your territory is open,2.2,Tier navigation,"Presents the catalogue by format tier rather than as a packshot gallery, because a trade buyer navigates by what fills a cabinet, not by flavour.",/products/carry-homes | /products/paper-packs | /products/bulk-party-packs | /products/novelties | /products/boogie-woogie | /products/trade-supply,"Six tiers. Trade-supply tier surfaces vans, cones and ghee, currently invisible on site."
2,Products — Index,/products,Static index,/,Tier index,CMS Product Tier collection,Tier 2,Request the trade pack,Check if your territory is open,2.3,The breadth argument,"States what the catalogue means commercially — one supplier covering the whole freezer, fewer relationships, simpler logistics.",/partners/distributor/economics,Product count stated only if the SKU list is verified. Otherwise omitted.
2,Products — Index,/products,Static index,/,Tier index,CMS Product Tier collection,Tier 2,Request the trade pack,Check if your territory is open,2.4,Price ladder explainer,"Introduces the tier structure that carries the entire margin argument, since absolute rupees per unit is what a distributor actually calculates.",/products/bulk-party-packs | /partners/distributor/economics,Published price list is a commercial decision — [CONFIRM] whether it stays public.
2,Products — Index,/products,Static index,/,Tier index,CMS Product Tier collection,Tier 2,Request the trade pack,Check if your territory is open,2.5,Trade pack download,"Gives the trade buyer a forwardable specification artifact, matching the standard a competitor already publishes on its B2B property.",/resources/12-questions,Light gate: phone + WhatsApp + territory.
2,Products — Index,/products,Static index,/,Tier index,CMS Product Tier collection,Tier 2,Request the trade pack,Check if your territory is open,2.6,Pinned WhatsApp + Call,Floating conversion path for the archetype who will not complete a form. Pre-filled with page context so the sales conversation opens already qualified rather than at zero.,wa.me deep link | tel: link,WhatsApp Business API. Page context injected into the pre-filled message.
